title,company,stipend,skills,url
,Renan PartnersActively hiring,"₹ 5,000 - 10,000 /month","Medical AI Training Voice & Transcription - Telugu Renan Partners Actively hiring Work from home ₹ 5,000 - 10,000 /month 1 Month 1. Create medical datasets based on realistic clinical scenarios, including doctor-patient conversations, symptoms, diagnoses, investigations, findings, treatment plans, and prescriptions.
2. Participate in medical role-plays by simulating doctor-patient conversations with AI systems and other members of the community.
3. Generate and annotate high-quality medical conversations across different specialties, patient profiles, clinical situations, and stages of the patient journey. Telugu Proficiency (Written) Telugu Proficiency (Spoken) Transcription Effective Communication Medical Terminology Few hours ago Be an early applicant",https://internshala.com/internship/detail/work-from-home-medical-ai-training-voice-transcription-telugu-internship-at-renan-partners1788940708
,MedRenova Private LimitedActively hiring,"₹ 10,000 - 20,000 /month","AI Developer  - SaaS Product (Pharma) MedRenova Private Limited Actively hiring Pune, Bangalore (Hybrid) ₹ 10,000 - 20,000 /month 3 Months You will work with our engineering team on an AI-first SaaS product for the pharmaceutical industry.
 


1. Testing and debugging real, running systems and fixing bugs.
2. Contributing to product improvements to make systems faster, cleaner, and more reliable.
3. Contributing to new features and tools under the guidance of senior engineers.
4. Using AI and other relevant tools effectively while understanding and owning your code and design decisions.
5. Planning work systematically using checklists and structured approaches.
6. Asking questions, iterating quickly,y and adapting as requirements evolve. Python Software Testing Backend development Artificial intelligence Few hours ago",https://internshala.com/internship/detail/ai-developer-saas-product-pharma-internship-in-multiple-locations-at-medrenova-private-limited1788930367
,Grabbit IndiaActively hiring,"₹ 15,000 - 25,000 /month","E-Commerce Business Management Grabbit India Actively hiring Mumbai ₹ 15,000 - 25,000 /month 3 Months Selected intern’s day-to-day responsibilities include:

1. Research products, competitors, customer reviews, and market trends to help identify product opportunities.
2. Support new product launches by organizing product information, coordinating assets, and preparing launch checklists.
3. Learn to manage our Shopify store, including product listings, collections, pricing, content updates, and basic store checks.
4. Help maintain inventory trackers, monitor stock availability, and coordinate with the operations team.
5. Research advertising creatives, hooks, and offers, and organize findings into useful briefs for the marketing team.
6. Support A/B testing of product pages, creatives, and offers by documenting experiments, tracking results, and suggesting next steps.
7. Use spreadsheets, AI tools, and other software to organize information, prepare reports, and improve day-to-day workflows.
8. Take ownership of small projects with guidance, communicate progress, and apply feedback effectively.

You’ll gain hands-on exposure to how a D2C business operates. We’ll teach you our tools and processes, and your responsibilities will evolve based on your strengths, interests, and performance. MS-Excel English Proficiency (Written) Research and Analytics Effective Communication Few hours ago Job offer upto ₹ 7.5LPA post internship",https://internshala.com/internship/detail/e-commerce-business-management-internship-in-mumbai-at-grabbit-india1788928531
,Stanza Shipping (India) Private LimitedActively hiring,"₹ 10,000 - 20,000 /month","AI Business Automation Stanza Shipping (India) Private Limited Actively hiring Delhi (Hybrid) ₹ 10,000 - 20,000 /month 3 Months 1. Manage and automate WhatsApp and email communications using AI.
2. Read, categorise, and prioritise incoming messages and emails.
3. Develop AI-generated reply drafts and define escalation rules.
4. Automate follow-ups, reminders, and task allocation.
5. Integrate AI with WhatsApp, Gmail/Outlook, Google Sheets, and other business tools.
6. Continuously test AI workflows, identify errors, and improve AI-generated responses.
7. Build simple dashboards and reports to track pending messages and tasks.
8. Identify new repetitive business activities that can be automated.
9. Maintain documentation of workflows and processes.
10. Provide management with a daily update on completed work, issues, and next steps. Python MS-Excel REST API APIs Debugging Google Sheets ChatGPT +3 more 1 day ago Part time",https://internshala.com/internship/detail/part-time-ai-business-automation-internship-in-delhi-at-stanza-shipping-india-private-limited1788840589
,Krazio CloudActively hiring,"₹ 5,000 - 10,000 /month","Business Analytics Krazio Cloud Actively hiring Ahmedabad ₹ 5,000 - 10,000 /month 6 Months 1. Assist in gathering and documenting client requirements.
2. Learn to prepare BRDs, FRDs, User Stories, and Use Cases.
3. Participate in client meetings and requirement discussions.
4. Create basic process flows and functional documentation.
5. Work closely with Project Managers, Designers, and Developers.
6. Assist with User Acceptance Testing (UAT).
7. Research market trends and competitor products. Logical reasoning English Proficiency (Written) Figma Google Workspace Jira Effective Communication Microsoft 365 1 day ago",https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-krazio-cloud1788848809
,Medius Technologies Private LimitedActively hiring,"₹ 9,500 - 10,000 /month","MIS Medius Technologies Private Limited Actively hiring Thane, Navi Mumbai, Mumbai ₹ 9,500 - 10,000 /month 6 Months 1. Supervise and streamline daily business operations, ensuring smooth execution while leveraging data-driven insights for optimization.
2. Develop and implement analytical strategies to enhance operational efficiency, streamline workflows, and boost overall performance.
3. Track, analyze, and interpret key performance indicators (KPIs) to pinpoint inefficiencies, uncover trends, and drive continuous enhancements.
4. Promote interdepartmental collaboration by utilizing data insights to improve coordination, productivity, and decision-making.
5. Uphold compliance with corporate policies, regulatory requirements, and industry benchmarks while maintaining operational excellence.
6. Assess team performance using data analytics, providing guidance and support to foster efficiency and goal achievement.
7. Strategically manage budgets and resources, utilizing data-driven approaches to maintain cost efficiency without sacrificing quality.
8. Identify operational challenges through deep analytical evaluations and propose innovative, long-term solutions for sustainable growth.
9. Generate insightful reports on operational metrics, providing leadership with forecasts and data-backed recommendations.
10. Partner with senior management to align operational initiatives with broader organizational objectives, using analytics to enhance strategic planning. Negotiation Operations Problem Solving Advanced Excel Effective Communication 1 day ago",https://internshala.com/internship/detail/mis-internship-in-multiple-locations-at-medius-technologies-private-limited1788865965
,Hungama Digital Media Entertainment Private LimitedActively hiring,"₹ 5,000 - 5,001 /month","Content Writing Hungama Digital Media Entertainment Private Limited Actively hiring Mumbai ₹ 5,000 - 5,001 /month 6 Months Learn. Experiment. Build. Create.

We are setting up a next-generation Creative Studio at the intersection of storytelling, filmmaking, technology, and creativity — and we’re looking for curious, driven interns to be part of the journey.

This is not a traditional internship. You’ll get hands-on exposure to real AI-powered creative workflows, work across multiple AI platforms and pipelines, and see how ideas move from concept to execution.



1. Support coordination and project tracking across AI creative projects.
2. Help maintain archives, assets, prompts, workflows, and project documentation.
Document learnings, experiments, successes and failures to help build our evolving AI Creative Playbook.
3. Assist teams in researching and testing new AI tools, platforms, and creative workflows.
4. Support ideation, content development and production wherever required.
5. Work closely with creative and AI teams and get exposure to end-to-end AI content creation. Artificial intelligence 7 days ago",https://internshala.com/internship/detail/content-writing-internship-in-mumbai-at-hungama-digital-media-entertainment-private-limited1788335937
,Vriddhikar SocietyActively hiring,Unpaid,"Research And Market Insights Analyst Vriddhikar Society Actively hiring Delhi, Gurgaon, Greater Noida, Mumbai, Noida (Hybrid) Unpaid 2 Months 1. Conduct market research on schools, coaching institutes, and the education industry.
2. Connect with school principals, coaching directors, teachers, and academic coordinators to understand their challenges and requirements.
3. Collect and document customer feedback, pain points, buying behaviour, and market trends.
4. Research competitors, industry developments, government education policies, and emerging EdTech trends.
5. Prepare weekly market intelligence reports and business insights for the leadership team.
6. Identify common customer objections and recommend improvements in sales pitches and service offerings.
7. Maintain structured research databases, interview records, and market reports.
8. Assist in preparing research-backed presentations, reports, and strategic recommendations.

Please note: Upon successful completion of the internship, interns will be eligible for Travel Allowance (TA) and Daily Allowance (DA) reimbursement, subject to company policy and performance evaluation. MS-Word Presentation skills Attention to Detail MS-Excel Problem Solving Report Writing Research and Analytics +2 more 2 days ago Part time",https://internshala.com/internship/detail/part-time-research-and-market-insights-analyst-internship-in-multiple-locations-at-vriddhikar-society1788755622
,GIANActively hiring,"₹ 7,500 /month","AI Data Research and Knowledge Engineering GIAN Actively hiring Ahmedabad (Hybrid) ₹ 7,500 /month 2 Months 1. Discover and collect valuable agricultural datasets and knowledge from government portals, agricultural universities, ICAR/KVK resources, research repositories, NGOs, open-data platforms, APIs, PDFs, and other online sources.
2. Evaluate data sources based on their content, ownership, coverage, quality, accessibility, relevance, and limitations.
3. Download and process CSV, Excel, JSON, PDF, and text-based datasets.
4. Clean and preprocess raw data by removing duplicates, fixing inconsistencies, normalizing information, and structuring datasets.
5. Convert datasets and documents into formats suitable for AI memory, semantic search, RAG, and knowledge retrieval while preserving source information and provenance.
6. Build repeatable data collection and preprocessing pipelines where useful.
7. Automate data collection and preprocessing tasks using Python and APIs where applicable. Python SQL APIs Data Preparation Data Extraction Data Annotation 2 days ago Part time",https://internshala.com/internship/detail/part-time-ai-data-research-and-knowledge-engineering-internship-in-ahmedabad-at-gian1788769361
,ENpowerActively hiring,"₹ 5,000 - 7,000 /month","AI Tech Trainer ENpower Actively hiring Sangli, Solapur, Ahmednagar, Satara, Rahuri, Parner, Akole, Kopargaon, Baramati, Raigad, Rahata, Jamkhed, Shikrapur, Nevasa Kh. Rural, Chapadgaon ₹ 5,000 - 7,000 /month 2 Months Are you passionate about cutting-edge technology and eager to share your knowledge with others? Join ENpower as an AI Trainer intern and help empower the next generation of innovators! 



1. Deliver engaging training sessions on Artificial Intelligence.
2. Provide mentorship and support to students as they work on tech projects.
3. Assist in organizing data from sessions
4. Serve as a brand ambassador for ENpower, promoting our mission and values within the tech community. 

If you’re ready to inspire and educate the next generation of tech enthusiasts, apply now and help shape the future of technology! Artificial intelligence 2 days ago",https://internshala.com/internship/detail/ai-tech-trainer-internship-in-multiple-locations-at-enpower1788774594
,AydyaActively hiring,"₹ 10,000 - 15,000 /month","AI Filmmaking Associate Aydya Actively hiring Bangalore ₹ 10,000 - 15,000 /month 6 Months We’re looking for a creative AI Video Production Intern to turn ideas and scripts into engaging AI-generated videos. You’ll work across AI generation, prompting, visual storytelling, editing, and post-production to create ads, UGC, branded content, and short-form videos.



1. Create AI-generated images and videos from creative briefs.
2. Develop prompts and shot-by-shot visual concepts.
3. Edit footage, add sound, voice-overs, captions, and effects.
4. Rapidly prototype and iterate on new ideas. Video Editing Adobe Premiere Pro Adobe After Effects AI Video Generation 5 days ago Job offer upto ₹ 6LPA post internship Part time",https://internshala.com/internship/detail/part-time-ai-filmmaking-associate-internship-in-bangalore-at-aydya1788497029
,SMARRTIF AIActively hiring,"₹ 5,000 - 7,000 /month","AI Consultant And Trainer SMARRTIF AI Actively hiring Delhi (Hybrid) ₹ 5,000 - 7,000 /month 6 Months A. Training & Mentoring

1. Assist with individual and group training sessions on AI/ML, Generative AI, and Data Analytics.
2. Explain technical concepts clearly to beginners and non-technical learners.
3. Support learners with projects, assignments, and practical activities.
4. Adapt teaching methods based on learners' needs and skill levels.

B. Consulting & Learner Guidance

1. Understand learner and client goals, requirements, and existing skill levels.
2. Identify technical and career-related skill gaps.
3. Recommend suitable learning paths, tools, projects, and resources.
4. Guide learners toward career opportunities in AI/ML and Data Analytics.

C. Project & Content Development

1. Assist in creating customized, project-based learning programs.
2. Develop assignments, workshops, exercises, and training materials.
3. Recommend projects based on learners' goals and capabilities.
4. Stay updated on AI tools, technologies, and industry trends.

D. Portfolio & Career Support

1. Guide learners on GitHub, LinkedIn, resumes, portfolios, Tableau/Power BI, and personal websites.
2. Help learners present their projects and skills effectively.
3. Support interview preparation, project discussions, and job-readiness activities.

E. Client Interaction

1. Communicate professionally with learners and clients.
2. Assist in preparing training plans and project recommendations.
3. Maintain regular follow-ups and coordinate with internal teams. Python Project Management Data Analytics Git Machine Learning MS SQL Server GitHub +10 more 2 days ago",https://internshala.com/internship/detail/ai-consultant-and-trainer-internship-in-delhi-at-smarrtif-ai1788770168
,Equity ReachActively hiring,"₹ 1,500 - 2,500 /month","Consumer Research Equity Reach Actively hiring Work from home ₹ 1,500 - 2,500 /month 1 Month 1. Design, review, and improve survey questionnaires to ensure accurate, relevant, and unbiased data collection.
2. Conduct online research and gather responses through surveys, forms, and questionnaires from target participants.
3. Analyze personality assessment results and identify behavioral patterns, preferences, and response trends.
4. Verify and organize collected data to maintain accuracy, consistency, and research quality standards.
5. Track survey participation rates and coordinate follow-ups to improve completion and response quality.
6. Prepare research summaries, reports, and presentations highlighting key findings and actionable insights.
7. Assist in consumer behavior studies, opinion surveys, and market perception analysis projects. MS-Office English Proficiency (Spoken) English Proficiency (Written) 1 day ago",https://internshala.com/internship/detail/work-from-home-consumer-research-internship-at-equity-reach1788848479
,Fin MaverickActively hiring,"₹ 22,000 /month","Startup And VC Research Fin Maverick Actively hiring Work from home ₹ 22,000 /month 3 Months You'll track the Indian startup funding market and build the market-sizing and deal-structure materials our VC track runs on. Good fit if you already read funding news for fun.
 

 
 1. Tracking funding rounds, including stage, size, investors, and any disclosed terms
 2. Building bottom-up market sizing models for the sectors you cover
 3. Summarising term sheet structures from public filings and reporting
 4. Writing short profiles of active funds and what they seem to believe
 5. Maintaining the sector deal tracker

Free access to the full Fin Maverick micro course library as part of your onboarding. MS-Excel English Proficiency (Written) Research and Analytics Market research 1 day ago",https://internshala.com/internship/detail/work-from-home-startup-and-vc-research-internship-at-fin-maverick1788854221
,ExpGrowth Business Solutions LLP,"₹ 8,000 - 20,000 /month","Amazon PPC ExpGrowth Business Solutions LLP Delhi (Hybrid) ₹ 8,000 - 20,000 /month 3 Months We’re looking for an enthusiastic e-commerce marketing intern who is passionate about Amazon PPC, performance marketing, and e-commerce growth.



1. Assist in managing and optimizing Amazon PPC campaigns (SP, SB & SD).
2. Perform keyword research, search term analysis, bid optimization, and campaign reporting.
3. Analyze metrics like ACoS, ROAS, CTR, CVR & TACoS to identify growth opportunities.
4. Support competitor research, product analysis, and Amazon account growth strategies. Digital Marketing Analytical Thinking Problem Solving Digital Advertising Paid Advertising Few hours ago Be an early applicant",https://internshala.com/internship/detail/amazon-ppc-internship-in-delhi-at-expgrowth-business-solutions-llp1788952041
,INVORIT INNOVATION PRIVATE LIMITED,"₹ 2,000 /month","Electronics Engineering INVORIT INNOVATION PRIVATE LIMITED Pune ₹ 2,000 /month 3 Months 1. Conduct technical research on AI, Generative AI, Agentic AI, Physical AI, Computer Vision, IoT, Industry 4.0, and Industrial Automation. 
2. Use AI tools, LLMs, coding assistants, and other AI capabilities effectively for research, development, problem-solving, and productivity. 
3. Understand business problems, analyse requirements, and identify suitable technology-based solutions. 
4. Assist in developing software, AI/ML, Gen AI, Agentic AI, Computer Vision, and automation applications. 
5. Work with sensors, cameras, controllers, machines, and industrial equipment for data acquisition and machine/system integration. 
6. Build and iterate prototypes and Proofs of Concept (PoCs) to evaluate new technologies and solutions. 
7. Collect, process, and analyse machine, sensor, image, and other operational data for our applications. 
8. Perform testing, debugging, troubleshooting, and performance improvement of hardware and software solutions. 
9. Assist with installation, commissioning, integration, and deployment of solutions at Invorit's facility and customer sites. 
10. Prepare and maintain technical documentation, test reports, system configurations, and project records. 
11. Participate in customer discussions, site visits, demonstrations, and project activities under the guidance of the founders and engineering team. Python Logical reasoning Report Writing Computer Vision Internet of Things (IoT) System Design Few hours ago Be an early applicant Job offer upto ₹ 3.4LPA post internship",https://internshala.com/internship/detail/electronics-engineering-internship-in-pune-at-invorit-innovation-private-limited1788950364
,KlassWAY,"₹ 8,000 - 10,000 /month","Robotics Trainer (Mentor) KlassWAY Lucknow ₹ 8,000 - 10,000 /month 6 Months 1. Deliver hands-on STEM training to school students using project-based learning methods covering robotics, coding, and AI fundamentals.
2. Conduct robotics & coding sessions for students across different age groups/grades, adapting complexity and teaching style accordingly.
3. Work hands-on with hardware, Arduino, Raspberry Pi, and other microcontrollers, to build, test, and troubleshoot project kits before and during sessions.
4. Travel to partner schools for on-site robotic training sessions and workshops (local travel within Lucknow).
5. Design and prepare curriculum/project modules, lesson plans, sample code, and circuit designs, tailored to student skill levels.
6. Assemble and prototype projects involving embedded electronics, IoT, and 3D-printed components for classroom demonstrations.
7. Perform PCB soldering and hardware assembly for training kits and student project boards.
8. Debug student code and circuits in real time during sessions, and guide students through problem-solving independently.
9. Evaluate student progress through project milestones and provide feedback to school coordinators/parents as needed.
10. Maintain and manage lab equipment/inventory, sensors, boards, tools, and 3D printers, ensuring everything is functional and available for sessions.
11. Stay updated on new robotics/AI teaching tools, kits, and trends to continuously improve training content. Python Robotics Machine Learning Teaching Embedded Systems Arduino C Programming +3 more Few hours ago Be an early applicant Job offer upto ₹ 4LPA post internship",https://internshala.com/internship/detail/robotics-trainer-mentor-internship-in-lucknow-at-klassway1788940025
,Infinos Technologies LLP,"₹ 4,000 - 8,000 /month","Business Analytics Infinos Technologies LLP Hyderabad ₹ 4,000 - 8,000 /month 1 Month 1. Work closely with cross-functional teams to gather, document, and analyze business requirements for smart container and robotics solutions
2. Map and improve business processes
3. Prepare functional specifications
4. Translate stakeholder needs into clear, actionable insights for product and engineering teams
5. Conduct data-driven analysis to support decision-making
6. Create reports and presentations for leadership
7. Collaborate with operations, technology, and sales teams to optimize workflows and service delivery
8. Monitor project progress
9. Support testing and validation of solutions
10. Recommend enhancements aligned with business objectives and sustainability goals Market Analysis Business Analysis Economics Business Management Business Research Sales Management Business Development +8 more Few hours ago Be an early applicant Part time",https://internshala.com/internship/detail/part-time-business-analytics-internship-in-hyderabad-at-infinos-technologies-llp1788932382
